Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.23,444.54,20.08,0.08,14.18,0.05,0.83,423.15
0.3,443.95,19.96,0.08,13.88,0.03,0.84,422.11
0.32,442.84,19.68,0.08,14.05,0.05,0.76,422.49
0.5,434.68,19.40,0.09,13.78,0.03,0.71,423.11
0.52,437.67,19.80,0.07,13.64,0.04,0.73,421.19
0.52,441.26,19.76,0.09,13.69,0.03,0.72,423.96
0.38,447.59,20.26,0.07,13.87,0.03,0.71,425.85
0.5,448.64,20.13,0.09,13.96,0.03,0.74,429.12
0.08,445.89,20.30,0.09,13.97,0.04,0.68,427.45
0.38,442.93,20.09,0.06,13.86,0.03,0.67,426.36
0.3,440.84,19.68,0.08,13.70,0.04,0.71,422.97
0.5,442.51,19.86,0.09,13.69,0.04,0.69,423.83
0.47,441.63,19.78,0.07,13.94,0.04,0.69,424.75
0.47,441.31,19.78,0.07,13.90,0.04,0.73,426.26
0.46,440.82,19.65,0.08,13.92,0.04,0.73,425.71
0.5,441.43,20.00,0.10,13.71,0.04,0.74,424.85
0.37,444.82,20.00,0.09,13.88,0.03,0.71,425.34
0.48,444.59,19.72,0.09,14.13,0.03,0.68,424.48
0.46,441.22,19.94,0.07,13.91,0.03,0.74,425.46
0.36,445.36,20.25,0.07,13.97,0.04,0.71,424.47
0.39,446.13,19.86,0.09,13.94,0.05,0.75,423.35
0.38,442.55,19.66,0.07,13.90,0.04,0.73,423.10
0.38,446.91,19.95,0.07,13.86,0.03,0.74,422.94
0.41,444.12,19.99,0.07,14.10,0.03,0.75,423.65
0.23,437.68,19.72,0.07,13.63,0.03,0.76,422.96
0.21,435.52,19.35,0.08,13.67,0.03,0.80,422.26
0.31,438.15,19.79,0.08,13.66,0.03,0.77,425.18
0.42,437.51,19.68,0.08,13.76,0.04,0.70,425.53
0.48,444.52,19.79,0.09,13.78,0.02,0.69,424.53
0.52,441.35,19.86,0.09,13.72,0.03,0.70,425.29
0.22,447.09,19.86,0.07,14.17,0.03,0.69,423.30
0.22,439.93,20.02,0.09,13.62,0.04,0.67,422.54
0.45,434.6,19.35,0.09,13.50,0.03,0.67,423.35
0.53,433.1,19.33,0.10,13.61,0.05,0.70,424.35
0.52,435.17,19.56,0.09,13.56,0.03,0.77,422.16
0.45,437.95,19.70,0.06,13.83,0.03,0.64,422.96
0.12,436.16,19.56,0.08,13.68,0.04,0.74,420.78
0.5,433.25,19.62,0.08,13.49,0.05,0.71,422.39
0.56,431.48,19.55,0.08,13.53,0.04,0.79,419.37
0.59,432.05,19.66,0.09,13.41,0.03,0.73,422.11
0.53,434.35,19.32,0.08,13.86,0.04,0.71,421.69
0.43,439.33,20.01,0.07,13.99,0.03,0.70,422.23
0.34,439.37,19.64,0.08,13.67,0.05,0.71,422.79
0.34,443.13,19.79,0.06,13.95,0.04,0.62,422.75
0.48,439.29,19.92,0.08,13.79,0.03,0.65,423.75
0.32,438.12,19.90,0.09,13.71,0.04,0.60,422.34
0.45,435.47,19.77,0.07,13.71,0.05,0.66,419.77
0.52,433.27,19.35,0.07,13.53,0.03,0.70,421.02
0.48,432.76,19.27,0.06,13.39,0.03,0.71,422.02
0.5,433.2,19.56,0.08,13.63,0.04,0.66,421.26
0.47,433.77,19.26,0.08,13.80,0.03,0.68,420.29
0.49,434.28,19.48,0.06,13.57,0.04,0.66,417.66
0.45,437.01,19.82,0.08,13.65,0.04,0.70,417.75
0.35,442.2,19.76,0.06,13.86,0.05,0.73,417.23
0.59,436.95,19.74,0.07,13.74,0.03,0.76,416.93
0.34,439.59,19.65,0.06,13.98,0.04,0.81,417.47
0.34,438.23,19.87,0.09,13.61,0.03,0.79,418.32
0.34,437.16,19.66,0.08,13.56,0.04,0.71,417.64
0.41,435.48,19.55,0.09,13.50,0.03,0.71,418.88
0.37,438.65,19.61,0.09,13.77,0.04,0.78,417.76
0.28,438.27,19.67,0.08,13.73,0.04,0.77,419.86
0.34,437.13,19.79,0.08,13.84,0.04,0.76,418.62
0.49,435.43,19.83,0.09,13.74,0.03,0.70,420.80
0.45,443.3,19.78,0.08,13.82,0.03,0.60,419.65
0.48,438.98,19.99,0.07,13.96,0.02,0.73,420.75
0.49,436.42,19.49,0.09,13.82,0.04,0.74,421.32
0.45,434.14,19.62,0.08,13.83,0.03,0.76,421.41
0.42,434.37,19.76,0.06,13.61,0.03,0.74,419.74
0.43,437.19,19.88,0.07,13.66,0.04,0.66,416.70
0.55,428.91,19.38,0.08,13.65,0.05,0.67,417.82
0.45,433.62,19.44,0.06,13.73,0.05,0.70,420.21
0.49,433.41,19.36,0.08,13.61,0.04,0.72,419.09
0.27,432.91,19.54,0.09,13.49,0.04,0.67,417.97
0.52,434.62,19.46,0.10,13.74,0.02,0.71,418.37
0.49,430.53,19.40,0.08,13.55,0.04,0.72,418.31
0.57,432.39,19.61,0.07,13.57,0.05,0.69,416.29
0.58,433.02,19.29,0.09,13.60,0.03,0.68,413.51
0.59,428.26,19.11,0.07,13.34,0.03,0.68,415.88
0.57,425.79,19.17,0.09,13.28,0.04,0.69,414.82
0.56,422.03,18.81,0.06,13.46,0.03,0.63,415.38
0.59,420.91,19.18,0.08,13.11,0.03,0.63,413.49
0.58,428.53,19.22,0.07,13.48,0.04,0.70,412.11
0.59,423.53,18.99,0.06,13.45,0.03,0.65,414.22
0.56,416.02,18.66,0.07,13.12,0.03,0.67,415.99
0.52,423.11,19.15,0.08,13.30,0.04,0.66,413.63
0.57,425.75,19.10,0.07,13.49,0.03,0.69,414.36
0.48,430.95,19.45,0.09,13.74,0.03,0.67,414.91
0.32,429.18,19.29,0.06,13.40,0.03,0.68,415.65
0.24,422.93,19.09,0.08,13.11,0.04,0.69,418.79
0.4,423.66,18.86,0.06,13.48,0.03,0.71,411.66
0.45,419.61,18.76,0.06,13.33,0.02,0.71,408.71
0.55,403.26,18.33,0.06,12.60,0.02,0.69,408.27
0.57,383.95,17.40,0.07,12.33,0.04,0.67,401.46
0.59,376.1,16.70,0.08,12.06,0.03,0.62,405.61
0.62,393.45,17.76,0.09,12.64,0.02,0.64,408.57
0.65,400.91,17.91,0.06,12.51,0.03,0.59,409.10
0.52,413.21,18.54,0.08,13.02,0.03,0.61,411.12
0.5,419.62,18.70,0.07,13.15,0.04,0.60,408.53
0.59,420.01,19.08,0.07,13.24,0.04,0.65,406.43
0.56,404.46,18.06,0.07,12.78,0.02,0.59,401.51
0.52,369.64,16.62,0.09,11.74,0.02,0.68,393.51
0.55,350.7,15.98,0.07,11.17,0.03,0.60,399.62
0.59,347.91,15.72,0.06,10.87,0.02,0.64,400.04
0.59,347.63,15.62,0.08,11.12,0.04,0.69,406.16
0.63,355.13,15.79,0.07,11.36,0.02,0.67,403.60
0.69,354.95,15.85,0.08,11.25,0.02,0.62,402.30
0.66,372.98,16.72,0.08,11.73,0.03,0.63,398.91
0.68,375.59,16.87,0.07,11.81,0.04,0.63,398.43
0.68,373.16,16.64,0.08,12.02,0.02,0.61,399.25
0.67,371.4,16.87,0.08,11.92,0.02,0.61,400.31
0.63,364.27,16.41,0.08,11.74,0.03,0.57,402.45
0.61,358.48,15.99,0.05,11.30,0.03,0.55,403.95
0.62,370.07,16.37,0.06,11.66,0.03,0.58,404.82
0.58,366.63,16.35,0.07,11.58,0.02,0.56,408.10
0.55,372.88,16.63,0.05,11.74,0.03,0.53,394.89
0.45,391.95,17.79,0.06,12.58,0.03,0.48,383.38
0.37,410.02,18.22,0.09,12.82,0.02,0.55,380.22
0.28,397.05,17.82,0.08,12.47,0.04,0.55,375.27
0.56,325.91,14.43,0.08,10.29,0.03,0.56,376.65
0.59,325.75,14.85,0.05,10.21,0.02,0.60,388.02
0.55,329.11,14.59,0.06,10.28,0.01,0.63,389.52
0.59,336.72,15.26,0.04,10.78,0.03,0.54,395.38
0.46,353.33,15.96,0.06,11.42,0.03,0.54,406.28
0.34,378.95,17.29,0.09,12.00,0.03,0.53,408.63
0.6,349.99,15.93,0.07,11.34,0.04,0.54,397.78
0.62,333.21,15.20,0.05,10.58,0.04,0.61,379.36
0.63,329.52,14.82,0.07,10.40,0.04,0.59,392.14
0.61,331.51,14.76,0.07,10.39,0.02,0.59,389.93
0.57,334.89,15.06,0.04,10.71,0.03,0.60,384.23
0.54,340.01,15.40,0.08,11.00,0.04,0.58,385.21
0.48,343.85,15.26,0.06,10.90,0.03,0.58,387.81
0.41,349.34,15.84,0.08,11.10,0.04,0.61,375.34
0.38,352.44,16.07,0.05,11.05,0.02,0.56,373.89
0.37,370.38,16.58,0.07,11.82,0.02,0.54,379.75
0.27,389.23,17.56,0.08,12.43,0.02,0.58,375.07
0.3,381.94,17.30,0.07,12.07,0.03,0.57,372.00
0.2,387.59,17.39,0.05,12.24,0.04,0.58,371.04
0.19,386.07,17.24,0.07,12.21,0.02,0.52,365.73
0.34,376.57,17.07,0.05,11.71,0.04,0.50,365.17
0.41,375.45,16.92,0.06,11.77,0.02,0.58,366.32
0.45,359.8,16.24,0.09,11.21,0.02,0.59,373.96
0.45,379.23,17.19,0.06,12.02,0.03,0.57,376.96
0.42,375.99,16.86,0.05,12.08,0.03,0.53,367.02
0.42,354.04,16.05,0.05,11.27,0.02,0.49,357.33
0.62,319.57,14.35,0.05,10.31,0.02,0.50,347.27
0.57,299.86,13.51,0.04,9.67,0.03,0.58,343.30
0.5,315.54,14.21,0.05,10.15,0.03,0.56,348.46
0.49,325.99,14.86,0.06,10.34,0.03,0.56,350.90
0.52,323.16,14.58,0.06,10.51,0.02,0.59,364.26
0.55,330.91,14.64,0.08,10.76,0.03,0.55,358.11
0.52,332.23,14.70,0.08,10.63,0.02,0.51,347.55
0.55,320.81,14.33,0.05,10.29,0.01,0.59,329.92
0.56,311.66,14.17,0.06,10.16,0.02,0.60,329.13
0.55,313.89,13.91,0.07,9.83,0.02,0.59,344.98
0.52,321.29,14.70,0.08,10.22,0.02,0.55,347.78
0.5,332.78,15.05,0.04,10.48,0.02,0.53,340.09
0.5,331.84,14.93,0.04,10.65,0.02,0.57,343.08
0.53,317.3,14.48,0.05,9.99,0.03,0.56,338.43
