Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.58,334.75,14.81,0.07,10.49,0.02,0.60,370.79
0.56,335.05,15.21,0.07,10.64,0.02,0.61,365.48
0.57,350.2,15.62,0.06,10.96,0.04,0.59,364.92
0.3,385.39,17.15,0.05,12.29,0.03,0.55,366.07
0.23,394.39,17.84,0.09,12.38,0.02,0.54,373.71
0.27,416.38,18.60,0.06,13.03,0.04,0.57,376.71
0.44,406.99,18.37,0.09,12.82,0.03,0.56,366.77
0.56,377.5,16.91,0.08,11.88,0.02,0.49,357.08
0.52,352.7,15.71,0.05,11.25,0.02,0.50,347.02
0.59,350.56,15.57,0.09,10.94,0.02,0.52,343.05
0.6,344.29,15.56,0.05,11.06,0.03,0.50,348.21
0.56,326.29,14.65,0.05,10.44,0.03,0.56,350.65
0.52,324.45,14.31,0.08,10.47,0.03,0.55,364.01
0.5,343.8,15.23,0.06,10.89,0.03,0.60,357.86
0.2,374.11,16.59,0.08,12.02,0.03,0.63,347.30
0.25,371.07,16.48,0.06,11.80,0.04,0.62,329.67
0.47,353.74,16.06,0.07,11.21,0.03,0.63,328.88
0.55,353.73,15.92,0.05,11.33,0.04,0.62,344.73
0.49,340.34,15.25,0.07,11.05,0.04,0.59,347.53
0.49,330.06,15.03,0.08,10.45,0.04,0.56,339.84
0.53,328.41,14.77,0.06,10.57,0.03,0.61,342.83
0.57,312.23,13.98,0.04,9.99,0.03,0.59,338.18
0.6,317.32,14.09,0.05,10.35,0.04,0.57,333.54
0.59,323.94,14.56,0.05,10.28,0.03,0.58,335.40
0.61,331.36,14.74,0.08,10.76,0.03,0.62,339.78
0.62,341.48,15.20,0.08,11.04,0.04,0.61,326.57
0.66,325.34,14.72,0.07,10.60,0.03,0.64,314.62
0.62,337.27,14.96,0.08,10.81,0.02,0.64,318.96
0.59,332.8,14.81,0.07,10.75,0.02,0.62,317.38
0.55,309.26,13.90,0.06,9.82,0.03,0.56,325.73
0.41,322.36,14.72,0.08,10.51,0.01,0.54,331.06
0.47,324.05,14.42,0.07,10.42,0.01,0.52,317.35
0.63,300.68,13.41,0.07,9.45,0.03,0.51,317.54
0.57,305.55,13.71,0.04,9.63,0.02,0.53,311.79
0.52,321.79,14.54,0.06,10.28,0.03,0.61,313.34
0.55,315.24,14.19,0.07,10.05,0.03,0.60,304.53
0.54,319.53,14.23,0.08,10.22,0.03,0.66,313.07
0.39,344.12,15.36,0.08,10.92,0.04,0.68,311.38
0.37,349.54,15.68,0.05,11.06,0.04,0.65,314.98
0.34,355.83,16.13,0.07,11.15,0.02,0.67,300.10
0.34,352.15,16.05,0.06,11.12,0.03,0.62,301.68
0.45,340.82,15.07,0.08,10.89,0.04,0.55,308.45
0.49,328.45,14.81,0.08,10.31,0.03,0.52,313.13
0.52,328.26,14.81,0.05,10.58,0.04,0.61,313.14
0.55,321.16,14.70,0.06,10.20,0.03,0.58,320.62
0.61,315.55,14.41,0.07,10.28,0.02,0.67,336.63
0.55,326.05,14.45,0.04,10.29,0.03,0.57,331.29
0.57,322.48,14.52,0.05,10.29,0.04,0.62,325.09
0.56,330.62,15.03,0.06,10.48,0.02,0.57,325.55
0.58,321.09,14.56,0.06,10.19,0.02,0.60,306.39
0.52,339.21,15.31,0.05,10.73,0.02,0.59,304.61
0.56,326.01,14.66,0.06,10.46,0.04,0.64,316.89
0.55,320.68,14.20,0.06,10.12,0.01,0.66,324.43
0.56,320.08,14.28,0.05,10.21,0.03,0.63,303.37
0.56,320.4,14.22,0.08,10.43,0.02,0.60,309.05
0.57,322.65,14.56,0.07,10.34,0.02,0.59,316.42
0.58,321.51,14.40,0.07,10.21,0.03,0.58,314.47
0.54,337.35,14.96,0.08,10.60,0.02,0.58,324.69
0.42,344.55,15.31,0.05,11.00,0.02,0.54,317.28
